Category,Product,URL
"Amps & FX | Effects | Distortion, Overdrive & Fuzz",Swollen Pickle Jumbo Fuzz MkIIs Fuzz Pedal,https://www.ghmusic.com.au/way-huge-swollen-pickle-jumbo-fuzz-mkiis.html
Guitars | Electric Guitars,JS Series Dinky Arch Top JS22 Electric Guitar - Satin Black,http://www.portmacguitars.com.au/jackson-dinky-arch-top-js22-satin-black
Recording | Drum Machines,ARQ Aero RhythmTrak All-In-One Production and Live Performance Instrument- NEW!,http://www.bigmusicshop.com.au/zoom-arq-aero-rhythmtrak.html
Recording | Interfaces,Pro Tools Duet With Pro Tools 12 1 year Subscription,http://www.bettermusic.com.au/avid-pro-tools-duet-w-annual-subscription-for-pro-tools
Amps & FX | Effects | Noise Reduction,NS-2 Noise Suppressor (NS2),http://www.bettermusic.com.au/boss-ns-2-noise-suppressor-ns2
Keys | Keyboards,Kronos 2 73 Key Workstation Keyboard With Free Hard Case - 1 ONLY  CONTACT US,https://www.belfieldmusic.com.au/korg-kronos-2-73-key-keyboard-workstation.html
"Amps & FX | Effects | Distortion, Overdrive & Fuzz",Swollen Pickle Jumbo Fuzz MkIIs Fuzz Pedal,https://www.kosmic.com.au/way-huge-swollen-pickle-jumbo-fuzz
Recording | Microphones | Large Diaphragm Condensor,X1 Vocal Pack (w/ Shock Mount & Pop Shield),https://www.storedj.com.au/se-electronics-x1-vocal-pack-w-shock-mount-and-pop-shield
Recording | Portable Rehersal Studio,eBand JS-10 Audio Player with Guitar Effects,http://www.haworthguitars.com.au/products/effect-pedals/guitar-bass/roland-eband-js-10-audio-player-with-guitar-effects/
Accessories & Parts,iRig Blueturn Backlit Silent Bluetooth Page Turner,https://www.storedj.com.au/ik-multimedia-irig-blueturn-backlit-silent-bluetooth-page-turner
Amps & FX | Keyboard Amps,KC-150 4-Ch Mixing Keyboard Amplifier,http://www.haworthguitars.com.au/products/amplifiers/keyboard/roland-kc-150-4-ch-mixing-keyboard-amplifier/
Amps & FX | Effects,Bonafide Buffer All Analog High Quality Buffer,http://www.bigmusicshop.com.au/tc-electronic-bonafide-buffer-high-quality-analog-buffer.html
Recording | Interfaces | Professional ,Universal Audio Apollo 16 Thunderbolt 2 Audio Interface,https://www.storedj.com.au/universal-audio-apollo-16-thunderbolt-2-audio-interface
"Recording | Software | VST's, Instruments and FX","Komplete 11 Ultimate (Upgrade from Komplete Select, Machine Studio & Kontrol S Keyboards)",https://www.belfieldmusic.com.au/native-instruments-komplete-11-ultimate-upgrade-for-komplete-select-maschine-kontrol-s-keyboards.html
Accessories & Parts | Power Supplies,Micropower PS400 Phantom Power Supply,https://www.belfieldmusic.com.au/behringer-micropower-ps400-phantom-power-supply.html
Guitars | Electric Guitars,Tony Iommi SG Custom Left Handed LTD Electric Guitar,http://www.allansbillyhyde.com.au/prod/EGTILEBNH3/Epiphone-Tony-Iommi-SG-Custom-Ltd.-Left-Handed-Electric-Guitar.aspx
Recording | Interfaces | 8+ Inputs,OctoPre MKII  8 Channel Mic Preamp,https://www.belfieldmusic.com.au/focusrite-octopre-mkii-8-channel-mic-preamp.html
Guitars | Acoustic Guitars,TSBT Taylor Swift Baby Taylor Acoustic Guitar,http://www.haworthguitars.com.au/products/guitars/acoustic/taylor-taylor-swift-baby-taylor/
"Amps & FX | Effects | Distortion, Overdrive & Fuzz",Germanium Fuzz Face Mini Distortion Pedal,http://www.haworthguitars.com.au/products/effect-pedals/guitar-bass/dunlop-germanium-fuzz-face-mini-distortion/
Guitars | Acoustic Guitars | Acoustic Electric Guitars,G5022CE Rancher Jumbo Cutaway Electric,http://www.guitarfactory.com.au/Guitars/Acoustic/Gretsch/Gretsch-G5022CE-Rancher-Jumbo-Cutaway-Electric
Amps & FX | Keyboard Amps,KC-550 4-Ch Mixing Keyboard Amplifier,http://www.haworthguitars.com.au/products/amplifiers/keyboard/roland-kc-550-4-ch-mixing-keyboard-amplifier/
Accessories & Parts | Power Supplies,Micropower PS400 Phantom Power Supply,https://www.storedj.com.au/behringer-micropower-ps400-phantom-power-supply
Live Sound | Wireless | In Ear Monitoring,Powerplay P1 Personal In-Ear Monitor,https://www.storedj.com.au/behringer-powerplay-p1-personal-in-ear-monitor-amp
Guitars | Electric Guitars,JBM20 Jake Bowen Signature Electric Guitar,https://www.ghmusic.com.au/ibanez-jake-bowen-jbm20-signature-electric-guitar.html
Guitars | Electric Guitars | Specialty & Rare Guitars,Firebird Studio 2017 T - Pelham Blue,http://www.haworthguitars.com.au/products/guitars/electric/gibson-2017-firebird-studio-t-2017-pelham-blue/
Guitars | Electric Guitars,S2 Custom 22 Semi Hollow - Violin Amber,http://www.bigmusicshop.com.au/prs-s2-custom-22-semi-hollow-violin-amber.html
Keys | Keyboards | Synthesisers,Volca Beats - Analogue Rhythm Machine,https://www.storedj.com.au/korg-volca-beats-analogue-rhythm-machine
Guitars | Electric Guitars | Les Pauls,Les Paul Tribute Plus Electric Guitar - Midnight Ebony,http://www.bigmusicshop.com.au/epiphone-les-paul-tribute-plus-electric-guitar-midnight-ebony.html
